"id","application","benchmark","file","line","function","version"
"9af1ca71-3607-4838-8070-9eb15bd2ae15","253.perlbmk","spec2000","regcomp.c","2073","regclass","v1.3"
"2ff98fa2-83b6-4295-a0da-b7824cb706bb","mpeg4dec","mediabench","h263.c","1813","init_mv_penalty_and_fcode","default"
"02f8f105-b887-414c-aeaf-335111c3e600","h264enc-ldecod","mediabench","biaridecod.c","202","arideco_start_decoding","default"
"a46358ff-6bba-4292-b23b-c5f9e9cfa7e4","BT","NPB","bt.c","2039","compute_rhs","2.3-OpenACC-C"
"5d5689b3-cca7-48f1-93ae-d582b66c1cbb","400.perlbench","spec2006","pp_pack.c","2222","S_pack_rec","v1.1"
"b271748f-1929-4dec-ad73-af96c85a3f9c","linear-algebra-kernels-3mm","polybench","3mm.c","101","kernel_3mm","4.1"
"38e86c6a-9233-47b1-adb2-4eba948b06af","458.sjeng","spec2006","moves.c","200","check_legal","v1.1"
"b53a2031-612b-4e8f-9b08-056c618c627c","300.twolf","spec2000","main.c","175","main","v1.3"
"301d9585-272e-4ae4-b0df-f34f93841fae","silk","libraries","SKP_Silk_pitch_analysis_core.c","281","SKP_Silk_pitch_analysis_core","default"
"a80d64d6-a725-458a-95bf-7bf94361b0ea","default","TSVC","tsc.c","5279","vtvtv","default"
"b0ae4577-72b2-443a-aa4b-bc72c86cb93d","186.crafty","spec2000","init.c","620","SetChessBitBoards","v1.3"
"dad59000-ff7b-4eeb-8a88-9f07fb1e55b0","Branch","Kernels","func.c","8116","func24","SERIAL"
"1e5201b1-b9b4-442e-960e-94b11bbc01bc","mpeg4enc","mediabench","h263dec.c","378","h263_find_frame_end","default"
"c3f1334a-f0c9-44bc-a75e-4c9b5ebad27b","livermore","livermore","lloops.c","2149","init","default"
"26166dea-4a8b-479a-a5d8-04b381eb077a","482.sphinx3","spec2006","vector.c","103","vector_floor","v1.1"
"b5e05266-9ade-4e72-8848-b787bf7c047e","neural","FreeBench","neural.c","711","runcont","default"
"5d5689b3-cca7-48f1-93ae-d582b66c1cbb","400.perlbench","spec2006","doio.c","256","Perl_do_openn","v1.1"
"daccab2c-ec58-41c9-beea-f15be508436a","pifft","FreeBench","fftsg.c","653","makewt","default"
"38e86c6a-9233-47b1-adb2-4eba948b06af","458.sjeng","spec2006","attacks.c","197","is_attacked","v1.1"
"f3a3a269-a04c-4cfa-8c64-7c6fe2a3625d","464.h264ref","spec2006","mv-search.c","982","FastFullPelBlockMotionSearch","v1.1"
"f58183b8-3f35-419d-807e-83e8661d3dd3","gap","GitApps","trans.c","520","FuncLARGEST_IMAGE_PT","default"
"e90955a5-6c8c-409d-af83-2c5778d5419e","256.bzip2","spec2000","bzip2.c","1064","hbCreateDecodeTables","v1.3"
"99e54be3-43c3-4e0d-82ac-aba37039490e","181.mcf","spec2000","pstart.c","45","primal_start_artificial","v1.3"
"b53a2031-612b-4e8f-9b08-056c618c627c","300.twolf","spec2000","gparser.c","124","gparser","v1.3"
"2c6f1989-b804-4de3-a27f-5d3a22ef7df4","libpng","libraries","pngtrans.c","289","png_do_invert","default"
"abf501a4-8f47-4a59-b1a0-44b00a72fe27","mozjpeg","GitApps","jchuff.c","1009","jpeg_gen_optimal_table","default"
"e90955a5-6c8c-409d-af83-2c5778d5419e","256.bzip2","spec2000","bzip2.c","2424","doReversibleTransformation","v1.3"
"d9dd69b1-3130-4dde-8fd3-0aace6f5d093","254.gap","spec2000","cyclotom.c","1815","InitCyc","v1.3"
