"benchmark","version","application","file","line","function"
"spec2000","v1.3","253.perlbmk","regcomp.c","2073","regclass"
"mediabench","default","mpeg4dec","h263.c","1813","init_mv_penalty_and_fcode"
"mediabench","default","h264enc-ldecod","biaridecod.c","202","arideco_start_decoding"
"NPB","2.3-OpenACC-C","BT","bt.c","2039","compute_rhs"
"spec2006","v1.1","400.perlbench","pp_pack.c","2222","S_pack_rec"
"polybench","4.1","linear-algebra-kernels-3mm","3mm.c","101","kernel_3mm"
"spec2006","v1.1","458.sjeng","moves.c","200","check_legal"
"spec2000","v1.3","300.twolf","main.c","175","main"
"libraries","default","silk","SKP_Silk_pitch_analysis_core.c","281","SKP_Silk_pitch_analysis_core"
"TSVC","default","default","tsc.c","5279","vtvtv"
"spec2000","v1.3","186.crafty","init.c","620","SetChessBitBoards"
"Kernels","SERIAL","Branch","func.c","8116","func24"
"mediabench","default","mpeg4enc","h263dec.c","378","h263_find_frame_end"
"livermore","default","livermore","lloops.c","2149","init"
"spec2006","v1.1","482.sphinx3","vector.c","103","vector_floor"
"FreeBench","default","neural","neural.c","711","runcont"
"spec2006","v1.1","400.perlbench","doio.c","256","Perl_do_openn"
"FreeBench","default","pifft","fftsg.c","653","makewt"
"spec2006","v1.1","458.sjeng","attacks.c","197","is_attacked"
"spec2006","v1.1","464.h264ref","mv-search.c","982","FastFullPelBlockMotionSearch"
"GitApps","default","gap","trans.c","520","FuncLARGEST_IMAGE_PT"
"spec2000","v1.3","256.bzip2","bzip2.c","1064","hbCreateDecodeTables"
"spec2000","v1.3","181.mcf","pstart.c","45","primal_start_artificial"
"spec2000","v1.3","300.twolf","gparser.c","124","gparser"
"libraries","default","libpng","pngtrans.c","289","png_do_invert"
"GitApps","default","mozjpeg","jchuff.c","1009","jpeg_gen_optimal_table"
"spec2000","v1.3","256.bzip2","bzip2.c","2424","doReversibleTransformation"
"spec2000","v1.3","254.gap","cyclotom.c","1815","InitCyc"
"Kernels","SERIAL","Amr","amr.c","494","main"
"spec2006","v1.1","400.perlbench","regcomp.c","3889","S_regclass"
"spec2006","v1.1","464.h264ref","block.c","543","dct_luma_16x16"
"mediabench","default","mpeg4dec","mpeg12.c","830","ff_mpeg1_encode_init"
"mediabench","default","h264dec-ldecod","image.c","590","get_block"
"NPB","2.3-OpenACC-C","LU","lu.c","2128","pintgr"
"livermore","default","livermore","lloops.c","1715","endloop"
"mediabench","default","h264enc-lencod","configfile.c","659","PatchInp"
"machinelearning","default","darknet","utils.c","441","variance_array"
"spec2000","v1.3","253.perlbmk","regcomp.c","2083","regclass"
"machinelearning","default","darknet","gemm.c","80","gemm_nn"
"NPB","2.3-OpenACC-C","UA-SNU","mason.c","1560","mor_assign"
"spec2000","v1.3","253.perlbmk","md5c.c","321","Decode"
"NPB","2.3-OpenACC-C","UA-SNU","mason.c","2211","mor_ne"
"mediabench","default","mpeg4dec","pcm.c","451","pcm_decode_frame"
"libraries","default","libsndfile","command.c","303","psf_calc_signal_max"
"libraries","default","daala","pvq.c","509","od_compute_householder"
"mediabench","default","h264enc-lencod","q_matrix.c","374","allocate_QMatrix"
"spec2006","v1.1","458.sjeng","moves.c","1173","f_in_check"
"NPB","2.3-OpenACC-C","UA-SNU","adapt.c","965","merging"
"polybench","4.1","linear-algebra-blas-gemver","gemver.c","46","init_array"
"ASC-llnl","v1.0","amgmk","csr_matvec.c","124","hypre_CSRMatrixMatvec"
"mediabench","default","mpeg4enc","opt.c","118","av_set_string"
"NPB","2.3-OpenACC-C","UA-SNU","precond.c","327","setpcmo_pre"
"spec2000","v1.3","183.equake","quake.c","292","main"
"NPB","2.3-OpenACC-C","UA-SNU","mason.c","1705","mor_s_e"
"spec2006","v1.1","445.gobmk","move_reasons.c","341","add_lunch"
"machinelearning","default","darknet","convolutional_layer.c","396","add_bias"
"spec2006","v1.1","458.sjeng","utils.c","1162","seedMT"
"NPB","2.3-OpenACC-C","DC","jobcntl.c","309","GetRegTupleFromBin64"
"libraries","default","libdeep","deeplearndata.c","538","deeplearndata_read_csv"
"libraries","default","silk","SKP_Silk_NSQ.c","397","SKP_Silk_nsq_scale_states"
"libraries","default","daala","generic_code.c","144","generic_model_update"
"FreeBench","default","pifft","pifft.c","558","mp_unexp_sub"
"NPB","2.3-OpenACC-C","CG","cg.c","373","conj_grad"
"libraries","default","daala","dct.c","8553","check_bias"
"Kernels","SERIAL","Branch","func.c","13798","func8"
"spec2006","v1.1","400.perlbench","Opcode.c","659","XS_Opcode_opmask"
"TSVC","default","default","tsc.c","3225","s291"
"netlib","default","cg","cg_rc_prb.c","226","test01"
"NPB","2.3-OpenACC-C","SP","sp.c","1085","lhsz"
"GitApps","default","gap","string.c","1231","IsSSortString"
"NPB","2.3-OpenACC-C","UA-SNU","adapt.c","708","find_coarsen"
"ALPBench","v1.0","MPGenc","predict.c","511","pred_comp"
"livermore","default","livermore","lloops.c","1559","endloop"
"polybench","4.1","medley-nussinov","nussinov.c","86","kernel_nussinov"
"mediabench","default","h264enc-lencod","transform8x8.c","1545","dct_luma8x8"
"opencv_kernels","default","default","thresh.c","385","getThreshVal_Triangle_uchar"
"NPB","2.3-OpenACC-C","SP","sp.c","1452","compute_rhs"
"mediabench","default","mpeg2enc","predict.c","444","pred_comp"
"mediabench","default","mpeg4enc","mpegaudio.c","488","psycho_acoustic_model"
"Fhourstones","default","default","c4.c","131","ab"
"Kernels","SERIAL","Transpose","transpose.c","176","main"
"spec2000","v1.3","256.bzip2","bzip2.c","2616","undoReversibleTransformation_fast"
