PAPI_L1_DCM,PAPI_L1_ICM,PAPI_TOT_INS,PAPI_REF_CYC,time
29,22,60376,89680,0.026000
31,22,240376,310680,0.093000
33,24,540376,907080,0.272000
32,27,960376,1486500,0.446000
128,40,1500386,2103170,0.690000
67,37,2160377,4208880,1.287000
34,22,2940376,4845650,1.456000
37,25,3840376,5325470,1.600000
47,30,4860377,7737290,2.332000
56,34,6000377,8874060,2.678000
66,33,7260377,11584820,3.502000
53,30,8640377,11635440,3.505000
64,35,10140377,15776990,4.754000
169,37,11760386,16812050,5.094000
118,38,13500382,20561230,6.209000
166,48,15360386,24752680,7.509000
71,36,17340378,29285450,8.838000
127,44,19440383,30450720,9.199000
155,42,21660384,39775580,12.024000
203,41,24000387,37711400,11.441000
90,32,26460379,40869210,12.347000
82,35,29040380,47402370,14.280000
241,56,31740392,50623740,15.326000
117,38,34560381,51668980,15.577000
105,36,37500380,54494580,16.445000
191,43,40560389,64709320,19.568000
387,60,43740408,65029160,19.762000
231,52,47040393,68571220,20.760000
155,41,50460385,73720320,22.266000
650,91,54000419,86749570,26.378000
157,46,57660386,85673610,25.848000
233,42,61440391,97183810,29.339000
165,42,65340388,98222420,29.614000
650,93,69360424,99245190,30.042000
294,55,73500399,119940230,36.198000
141,37,77760384,114173460,34.416000
173,46,82140388,119435370,36.016000
289,50,86640398,140933080,42.547000
326,58,91260401,153076680,46.205000
349,61,96000402,153178450,46.219000
307,58,100860401,140130140,42.271000
346,57,105840402,171008300,51.551000
922,95,110940443,178369740,53.970000
551,69,116160422,175538250,53.049000
329,57,121500406,196611570,59.301000
278,48,126960399,198793040,59.934000
557,86,132540419,204543370,61.712000
508,70,138240419,209093550,63.146000
774,86,144060439,218576730,66.013000
632,66,150000425,228848250,69.072000
777,92,156060437,256970810,77.586000
431,66,162240414,264900370,79.900000
626,85,168540429,252888020,76.299000
776,73,174960435,266990690,80.567000
1406,157,181500491,271860270,82.260000
403,60,188160409,279274880,84.158000
354,55,194940407,300953650,90.675000
614,81,201840428,310563560,93.658000
316,48,208860405,316211180,95.245000
950,120,216000461,350113070,105.678000
490,58,223260423,347365550,104.747000
480,67,230640424,340412890,102.653000
937,82,238140464,343636120,103.759000
1346,133,245760499,377054070,113.958000
646,83,253500432,375343400,113.172000
462,55,261360423,385062890,116.056000
1097,94,269340478,412894850,124.623000
687,87,277440454,425043700,128.346000
563,79,285660424,411245410,124.231000
1761,180,294000534,453107310,136.980000
653,83,302460441,458791350,138.321000
1684,171,311040534,464503810,140.362000
6001,692,319741144,466350780,144.722000
442,55,328560424,534579390,161.035000
634,64,337500439,518132970,156.163000
