alg,run,PAPI_L1_DCM,PAPI_L1_ICM,PAPI_L2_DCM,PAPI_L2_ICM,PAPI_L1_TCM,PAPI_L2_TCM,PAPI_CA_SHR,PAPI_CA_CLN,PAPI_CA_ITV,PAPI_TLB_DM,PAPI_TLB_IM,PAPI_L1_LDM,PAPI_L1_STM,PAPI_L2_LDM,PAPI_L2_STM,PAPI_HW_INT,PAPI_BR_CN,PAPI_BR_TKN,PAPI_BR_NTK,PAPI_BR_MSP,PAPI_BR_PRC,PAPI_TOT_IIS,PAPI_TOT_INS,PAPI_FP_INS,PAPI_LD_INS,PAPI_SR_INS,PAPI_BR_INS,PAPI_VEC_INS,PAPI_RES_STL,PAPI_TOT_CYC,PAPI_L1_DCH,PAPI_L1_DCA,PAPI_L2_DCA,PAPI_L2_DCR,PAPI_L2_DCW,PAPI_L1_ICH,PAPI_L2_ICH,PAPI_L1_ICA,PAPI_L2_ICA,PAPI_L2_TCH,PAPI_L1_TCA,PAPI_L2_TCA,PAPI_L2_TCR,PAPI_L2_TCW,PAPI_FML_INS,PAPI_FDV_INS,PAPI_FP_OPS,PAPI_SP_OPS,PAPI_DP_OPS,PAPI_VEC_SP,PAPI_VEC_DP,PAPI_REF_CYC,time
k3,-D N=1999,376,12,61,4,70660,65,30,0,0,202089,10290,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-376,0,0,0,0,-12,-4,0,0,-65,0,0,0,0,0,0,0,0,0,0,0,0,29.972000
k3,-D N=11999,1239088,795,3528,375,1242008,3903,1020,0,0,6562267,292961,1256897,3697,-52990,56893,149,144507575,144309458,11968,12230,144495308,4363289570,4337751719,145155653,1877899462,287502099,144166219,0,1139002953,2427935499,2435308215,2436547303,1260594,1256897,3697,2230238284,987,2230239079,1362,1252247,4666786382,1256150,1258259,3697,143965795,0,145155653,145155653,145155653,0,0,2428906339,896.235000
k3,-D N=12999,1444712,1085,3273,360,1434302,3633,883,0,0,7691997,343520,1455546,469,-72035,75668,243,169268356,169585034,12977,13314,169255023,5112877966,5084667098,169648436,2206002171,337067349,168705799,0,1340493857,2845644916,2859406323,2860851035,1456015,1455546,469,2620112442,1981,2620113527,2341,1458247,5480964562,1461880,1457887,469,169490821,0,169648436,169648436,169648436,0,0,2845351484,1048.668000
k3,-D N=13999,1677616,1017,474,16,1661258,490,1324,0,0,8896094,398925,1689768,4556,-451540,452030,211,195459214,195259928,14080,14460,195444811,5914520382,5883169479,196342188,2542964413,392548222,197138897,0,1564435347,3298941985,3329942503,3331620119,1694324,1689768,4556,3034553635,1805,3034554652,1821,1700455,6366174771,1700945,1691589,4556,196242022,0,196342188,196342188,196342188,0,0,3300160240,1214.776000
k3,-D N=14999,1942052,1202,419,0,1923613,419,1900,0,0,10181602,455532,1937836,4666,-93676,94095,348,225581800,224965112,16761,15442,225566281,6790765049,6741363032,225379480,2925462105,449542970,225800838,0,1786365652,3792087968,3805261751,3807203803,1942502,1937836,4666,3488597063,2148,3488598265,2148,1956411,7295802068,1956830,1939984,4666,225211587,0,225379480,225379480,225379480,0,0,3785175210,1393.394000
k3,-D N=15999,2179524,1333,1148,18,2239093,1166,1238,0,0,11581043,515622,2192938,15260,-92472,93638,340,257378401,257918788,16043,16545,257361766,7726622525,7667586650,256221055,3324606449,511775673,256463926,0,2021324856,4303180158,4334794352,4336973876,2208198,2192938,15260,3956887284,2391,3956888617,2409,2204944,8293862493,2206110,2195347,15260,256282772,0,256221055,256221055,256221055,0,0,4311938563,1579.631000
k3,-D N=16999,3614754,2054,322,349,3664796,671,1796,0,0,12709387,581391,3760696,15364,-141095,141766,409,290842033,288392988,16934,17708,290824425,8699294406,8658029326,290424096,3751285545,576065389,291124832,0,2302983942,4870993028,4892164930,4895779684,3776060,3760696,15364,4480922421,2833,4480924475,3182,3791947,9376704159,3792618,3763878,15364,289203049,0,290424096,290424096,290424096,0,0,4873302784,1785.230000
k3,-D N=17999,4068700,1835,607,0,4138037,607,1625,0,0,14664797,651027,4097762,15923,-801850,802457,464,326202315,323839107,17984,18734,326183708,9756600439,9709720222,324196666,4209945898,651419124,325202711,0,2566103657,5473206051,5490720686,5494789386,4113685,4097762,15923,5021665916,11598,5021667751,11598,4133341,10516457137,4133948,4109360,15923,324872687,0,324196666,324196666,324196666,0,0,5466719965,1999.567000
k2,-D K=999 -D N=999,212641,1165,36216,0,2300715,36216,34,0,0,0,0,0,0,36216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-212641,0,0,0,0,-1165,0,0,0,-36216,0,0,0,0,0,0,0,0,0,0,0,0,19.800000
k2,-D K=1999 -D N=1999,219844,13,331582,10,8728999,331592,1666,317026,0,8162603,15285,11729416,3879860,-3628045,3959637,30,13345164,11623849,1171288,10361,13334075,226401859,222390402,228280,89646971,0,0,0,0,0,-219844,0,15609276,11729416,3879860,-13,-10,0,0,-331592,0,0,11729416,3879860,0,0,228280,228280,228280,0,0,0,86.917000
k2,-D K=2999 -D N=2999,23775537,27539,811787,88,24222888,811875,3736,898440,0,19276446,19505,44392416,10479861,-9807671,10619546,50,34330331,27892251,6386392,11939,34318334,439232733,425893306,5513028,176442763,26589183,31336929,0,381364813,515625294,217012819,240788356,54872277,44392416,10479861,491426689,5269,491454228,5357,47180689,732242584,47992564,44397773,10479861,8376275,0,5513028,5513028,5513028,0,0,521583036,209.524000
k2,-D K=3999 -D N=3999,45467022,11693,1639874,50,50605865,1639924,4005,1659084,0,32315177,62114,81182472,15833737,-14664426,16304350,82,55819591,50089823,7691085,17743,55801741,821472963,818248921,6766429,339653584,51767067,57796834,0,794167860,1014005782,388680859,434147881,97016209,81182472,15833737,1023623553,9132,1023635246,9182,92307054,1457783127,93946978,81191654,15833737,15455917,0,6766429,6766429,6766429,0,0,1027197773,404.540000
k2,-D K=4999 -D N=4999,80827282,4852,3005008,62,85904972,3005070,4213,2995747,0,52413617,95224,120929640,24392874,-22333994,25339064,155,86957512,72854916,13657279,20049,86937714,1192313704,1180314060,12971663,497751779,74139995,86384778,0,1253620664,1630380250,612098134,692925416,145322514,120929640,24392874,1559525990,9167,1559530842,9229,141798445,2252456258,144803515,120938869,24392874,24952109,0,12971663,12971663,12971663,0,0,1738661440,635.511000
k2,-D K=5999 -D N=5999,121186004,5548,4266226,195,120046868,4266421,14655,3897129,0,73091987,136118,165880580,35315452,-32686759,36953180,246,125099705,108605995,19125871,24100,125075083,1754563443,1716352177,18898105,710780738,105191146,125485935,0,1894743726,2484724486,915338546,1036524550,201196032,165880580,35315452,2445822893,10410,2445828441,10605,208352306,3482352991,212618727,165891185,35315452,37767799,0,18898105,18898105,18898105,0,0,2519731877,924.614000
k2,-D K=6999 -D N=6999,161128955,55355,6305911,276,166605759,6306187,10507,5862172,0,103811492,167034,191349366,49422654,-45796290,52102477,276,175747138,148741421,26088854,28981,175718437,2354781692,2305819007,25425484,962672258,144565184,169451470,0,2533757488,3292905844,1223220310,1384349265,240772020,191349366,49422654,3140751916,13835,3140807271,14111,231872191,4525156536,238178378,191363477,49422654,49831393,0,25425484,25425484,25425484,0,0,3346424761,1261.671000
k2,-D K=7999 -D N=7999,211172065,41655,22192849,433,215029953,22193282,10164,17834206,0,129560979,244357,184806547,62076193,-43336947,65530229,373,228135720,187837331,34072787,32795,228103606,2985368622,2949651205,33081006,1271616876,193081354,222839020,0,4561539460,5453116327,1544300757,1755472822,246882740,184806547,62076193,5294069494,17918,5294111149,18351,226684320,7049583971,248877602,184824898,62076193,65601085,0,33081006,33081006,33081006,0,0,5412575055,1964.120000
k2,-D K=8999 -D N=8999,258338563,11927,9971621,810,264004185,9972431,20964,9254423,0,164068195,309629,202394955,80316152,-74180145,84152576,423,288225162,248662963,41593222,37256,288187908,3992711414,3926921307,39762862,1622144728,247211380,290220694,0,4252902575,5537417916,2093970481,2352309044,282711107,202394955,80316152,5278649886,25787,5278661813,26597,274772495,7630970857,284744926,202421552,80316152,83649986,0,39762862,39762862,39762862,0,0,5452715657,2085.807000
k2,-D K=9999 -D N=9999,327859066,53944,13780629,1665,331001266,13782294,16272,12293462,0,209218830,359937,252469251,97039225,-89647885,103430179,512,354994428,301278484,50782657,42302,354953425,4859886019,4837435704,50529857,2034277858,303178724,352811337,0,5567627774,7087820685,2488408467,2816267533,349508476,252469251,97039225,6794929796,23694,6794983740,25359,343498689,9611251273,357280983,252494610,97039225,101366430,0,50529857,50529857,50529857,0,0,7052035362,2662.208000
k1,-D K=999 -D M=999,59349,46,128890,191,0,129081,0,0,0,0,0,0,0,129081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-59349,0,0,0,0,-46,-191,0,0,-129081,0,0,0,0,0,0,0,0,0,0,0,0,13.633000
k1,-D K=1999 -D M=1999,23510,54,266335,44,354877,266379,4022,4122,0,194291,11749,563448,131836,266379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-23510,0,695284,563448,131836,-54,-44,0,0,-266379,0,0,563448,131836,0,0,0,0,0,0,0,0,48.377000
k1,-D K=2999 -D M=2999,24832,69,394623,0,651812,394623,0,6162,0,464465,29676,956582,207866,67819,326804,11,18128167,17968140,3029,3020,18125170,337839376,332432899,0,135141944,17812166,12888767,0,0,0,-24832,0,1164448,956582,207866,-69,0,0,0,-394623,0,0,956582,207866,0,0,0,0,0,0,0,0,106.810000
k1,-D K=3999 -D M=3999,951139,2061,523688,0,949853,523688,2314,8241,0,857570,53101,1449888,318814,51661,472027,41,32501664,32215103,4036,4034,32497628,606722448,586012401,0,239071892,33533438,33313274,0,142226645,340405668,320713047,321664186,1768702,1449888,318814,295365675,7447,295367736,7447,1228237,617031922,1751925,1457335,318814,0,0,0,0,0,0,0,338809335,185.016000
k1,-D K=4999 -D M=4999,1393983,1044,641725,16,1420795,641741,3828,9913,0,1427066,87611,2029223,381367,-39159,680900,49,50257920,49852282,5015,5047,50252873,936875739,919275162,0,376709430,49629477,49468263,0,226180420,517394799,481605649,482999632,2410590,2029223,381367,467921801,4534,467922845,4550,1735178,950922477,2376919,2033773,381367,0,0,0,0,0,0,0,524308134,286.708000
k1,-D K=5999 -D M=5999,1804204,4955,775726,31,1797972,775757,8751,12321,0,2086044,128680,2558996,476672,-47787,823544,47,72334143,72129670,6028,6028,72328128,1356392239,1332462723,1649,535526088,72264281,71490515,0,326858532,759377916,688582563,690386767,3035668,2558996,476672,660238471,10469,660243426,10500,2255627,1350630193,3031384,2569496,476672,0,0,1649,1649,1649,0,0,753414589,410.906000
k1,-D K=7999 -D M=7999,2726060,7756,1058158,170,2716788,1058328,12119,16660,0,3812626,234162,3613694,808590,-296617,1354945,153,128637027,128273405,8020,7969,128629079,2409355320,2374242564,1888,961199641,126762674,129273668,0,571740112,1325832301,1241001417,1243727477,4422284,3613694,808590,1188226475,8714,1188234231,8884,3418965,2431961708,4477293,3622578,808590,0,0,1888,1888,1888,0,0,1341449565,721.314000
k1,-D K=9999 -D M=9999,4645345,6469,1333616,83,4667487,1333699,13897,20196,0,5400336,370111,5889922,967428,-822417,2156116,190,201862459,201729243,10048,9991,201852483,3762042601,3705098769,0,1493017347,200831354,201480415,0,884546217,2090861219,1952697822,1957343167,6857350,5889922,967428,1827452252,12953,1827458721,13036,5577975,3784801888,6911674,5902958,967428,0,0,0,0,0,0,0,2087223125,1122.496000
